#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Mon May 24 14:52:49 2021

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       fp_multi_map.ncd
#OUTPUT FILE:      fp_multi_pad.csv
#PART TYPE:        xc3s400
#SPEED GRADE:      -5
#PACKAGE:          tq144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P92,res<0>,IOB,IO_L40P_2/VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P93,res<15>,IOB,IO_L40N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P94,,,GND,,,,,,,,,,,,
P95,res<1>,IOB,IO_L24P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P96,res<3>,IOB,IO_L24N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P97,res<4>,IOB,IO_L23P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P98,res<5>,IOB,IO_L23N_2/VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P99,res<6>,IOB,IO_L22P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P100,res<7>,IOB,IO_L22N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P101,,,GND,,,,,,,,,,,,
P102,a<0>,IOB,IO_L21P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P103,a<4>,IOB,IO_L21N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P104,a<1>,IOB,IO_L20P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P105,a<3>,IOB,IO_L20N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P106,,,VCCO_2,,,1,,,,,2.50,,,,
P107,a<5>,IOB,IO_L01P_2/VRN_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P108,b<4>,IOB,IO_L01N_2/VRP_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P109,,,TDO,,,,,,,,,,,,
P110,,,TCK,,,,,,,,,,,,
P111,,,TMS,,,,,,,,,,,,
P112,a<2>,IOB,IO_L01P_1/VRN_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P113,res<2>,IOB,IO_L01N_1/VRP_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P114,,,GND,,,,,,,,,,,,
P115,,,VCCO_1,,,0,,,,,2.50,,,,
P116,a<6>,IOB,IO,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P117,,,GND,,,,,,,,,,,,
P118,res<8>,IOB,IO_L28P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P119,b<5>,IOB,IO_L28N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P120,,,VCCAUX,,,,,,,,2.5,,,,
P121,,,VCCINT,,,,,,,,1.2,,,,
P122,res<11>,IOB,IO_L31P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P123,res<9>,IOB,IO_L31N_1/VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P124,res<12>,IOB,IO_L32P_1/GCLK4,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P125,res<14>,IOB,IO_L32N_1/GCLK5,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P126,,,VCCO_1,,,0,,,,,2.50,,,,
P127,b<13>,IOB,IO_L32P_0/GCLK6,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P128,res<13>,IOB,IO_L32N_0/GCLK7,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P129,b<12>,IOB,IO_L31P_0/VREF_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P130,a<10>,IOB,IO_L31N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P131,a<11>,IOB,IO_L30P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P132,a<12>,IOB,IO_L30N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P133,,,VCCINT,,,,,,,,1.2,,,,
P134,,,VCCAUX,,,,,,,,2.5,,,,
P135,a<13>,IOB,IO_L27P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P136,,,GND,,,,,,,,,,,,
P137,a<14>,IOB,IO_L27N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P138,,,VCCO_0,,,0,,,,,2.50,,,,
P139,,,GND,,,,,,,,,,,,
P140,b<10>,IOB,IO_L01P_0/VRN_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P141,,DIFFS,IO_L01N_0/VRP_0,UNUSED,,0,,,,,,,,,
P142,,,HSWAP_EN,,,,,,,,,,,,
P143,,,PROG_B,,,,,,,,,,,,
P144,,,TDI,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
